Estructura,Segundos,Bytes
FMI,1000000,153,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,151,241337
FMI,1000000,155,241337
FMI,1000000,154,241337
FMI,1000000,153,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,153,241337
FMI,1000000,153,241337
FMI,1000000,155,241337
FMI,1000000,151,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,151,241337
FMI,1000000,152,241337
FMI,1000000,154,241337
FMI,1000000,153,241337
FMI,1000000,153,241337
FMI,1000000,153,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,154,241337
FMI,1000000,153,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,154,241337
FMI,1000000,153,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,154,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,154,241337
FMI,1000000,152,241337
FMI,1000000,151,241337
FMI,1000000,151,241337
FMI,1000000,151,241337
FMI,1000000,151,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,155,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,153,241337
FMI,1000000,153,241337
FMI,1000000,153,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,155,241337
FMI,1000000,154,241337
FMI,1000000,154,241337
FMI,1000000,153,241337
FMI,1000000,153,241337
FMI,1000000,151,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,152,241337
FMI,1000000,151,241337
FMI,1000000,154,241337
FMI,1000000,152,241337
FMI,1000000,157,241337
FMI,1000000,154,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,154,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,152,241337
FMI,1000000,153,241337
FMI,1000000,154,241337
FMI,1000000,153,241337
FMI,1000000,152,241337
FMI,2000000,335,501641
FMI,2000000,334,501641
FMI,2000000,332,501641
FMI,2000000,335,501641
FMI,2000000,334,501641
FMI,2000000,334,501641
FMI,2000000,332,501641
FMI,2000000,334,501641
FMI,2000000,333,501641
FMI,2000000,336,501641
FMI,2000000,332,501641
FMI,2000000,334,501641
FMI,2000000,339,501641
FMI,2000000,332,501641
FMI,2000000,332,501641
FMI,2000000,335,501641
FMI,2000000,335,501641
FMI,2000000,332,501641
FMI,2000000,333,501641
FMI,2000000,333,501641
FMI,2000000,334,501641
FMI,2000000,334,501641
FMI,2000000,334,501641
FMI,2000000,334,501641
FMI,2000000,338,501641
FMI,2000000,334,501641
FMI,2000000,339,501641
FMI,2000000,334,501641
FMI,2000000,332,501641
FMI,2000000,334,501641
FMI,2000000,331,501641
FMI,2000000,333,501641
FMI,2000000,333,501641
FMI,2000000,334,501641
FMI,2000000,333,501641
FMI,2000000,333,501641
FMI,2000000,334,501641
FMI,2000000,335,501641
FMI,2000000,334,501641
FMI,2000000,334,501641
FMI,2000000,342,501641
FMI,2000000,335,501641
FMI,2000000,335,501641
FMI,2000000,333,501641
FMI,2000000,332,501641
FMI,2000000,332,501641
FMI,2000000,331,501641
FMI,2000000,333,501641
FMI,2000000,331,501641
FMI,2000000,333,501641
FMI,2000000,335,501641
FMI,2000000,335,501641
FMI,2000000,335,501641
FMI,2000000,334,501641
FMI,2000000,335,501641
FMI,2000000,339,501641
FMI,2000000,335,501641
FMI,2000000,332,501641
FMI,2000000,335,501641
FMI,2000000,334,501641
FMI,2000000,332,501641
FMI,2000000,332,501641
FMI,2000000,331,501641
FMI,2000000,332,501641
FMI,2000000,336,501641
FMI,2000000,331,501641
FMI,2000000,335,501641
FMI,2000000,334,501641
FMI,2000000,338,501641
FMI,2000000,334,501641
FMI,2000000,335,501641
FMI,2000000,338,501641
FMI,2000000,332,501641
FMI,2000000,332,501641
FMI,2000000,334,501641
FMI,2000000,333,501641
FMI,2000000,333,501641
FMI,2000000,331,501641
FMI,2000000,332,501641
FMI,2000000,335,501641
FMI,2000000,334,501641
FMI,2000000,335,501641
FMI,2000000,334,501641
FMI,2000000,336,501641
FMI,2000000,335,501641
FMI,2000000,333,501641
FMI,2000000,339,501641
FMI,2000000,333,501641
FMI,2000000,334,501641
FMI,2000000,331,501641
FMI,2000000,332,501641
FMI,2000000,333,501641
FMI,2000000,332,501641
FMI,2000000,334,501641
FMI,2000000,334,501641
FMI,2000000,334,501641
FMI,2000000,333,501641
FMI,2000000,337,501641
FMI,2000000,336,501641
FMI,2000000,335,501641
FMI,3000000,517,752785
FMI,3000000,521,752785
FMI,3000000,514,752785
FMI,3000000,515,752785
FMI,3000000,514,752785
FMI,3000000,512,752785
FMI,3000000,514,752785
FMI,3000000,514,752785
FMI,3000000,516,752785
FMI,3000000,518,752785
FMI,3000000,517,752785
FMI,3000000,517,752785
FMI,3000000,513,752785
FMI,3000000,513,752785
FMI,3000000,516,752785
FMI,3000000,513,752785
FMI,3000000,513,752785
FMI,3000000,517,752785
FMI,3000000,513,752785
FMI,3000000,517,752785
FMI,3000000,515,752785
FMI,3000000,512,752785
FMI,3000000,519,752785
FMI,3000000,514,752785
FMI,3000000,514,752785
FMI,3000000,514,752785
FMI,3000000,515,752785
FMI,3000000,519,752785
FMI,3000000,513,752785
FMI,3000000,514,752785
FMI,3000000,514,752785
FMI,3000000,519,752785
FMI,3000000,516,752785
FMI,3000000,515,752785
FMI,3000000,515,752785
FMI,3000000,515,752785
FMI,3000000,513,752785
FMI,3000000,513,752785
FMI,3000000,513,752785
FMI,3000000,514,752785
FMI,3000000,512,752785
FMI,3000000,515,752785
FMI,3000000,515,752785
FMI,3000000,519,752785
FMI,3000000,516,752785
FMI,3000000,516,752785
FMI,3000000,517,752785
FMI,3000000,514,752785
FMI,3000000,511,752785
FMI,3000000,511,752785
FMI,3000000,512,752785
FMI,3000000,515,752785
FMI,3000000,517,752785
FMI,3000000,518,752785
FMI,3000000,517,752785
FMI,3000000,513,752785
FMI,3000000,518,752785
FMI,3000000,513,752785
FMI,3000000,512,752785
FMI,3000000,511,752785
FMI,3000000,513,752785
FMI,3000000,510,752785
FMI,3000000,512,752785
FMI,3000000,516,752785
FMI,3000000,519,752785
FMI,3000000,517,752785
FMI,3000000,516,752785
FMI,3000000,517,752785
FMI,3000000,514,752785
FMI,3000000,511,752785
FMI,3000000,511,752785
FMI,3000000,515,752785
FMI,3000000,513,752785
FMI,3000000,516,752785
FMI,3000000,513,752785
FMI,3000000,524,752785
FMI,3000000,516,752785
FMI,3000000,517,752785
FMI,3000000,513,752785
FMI,3000000,511,752785
FMI,3000000,512,752785
FMI,3000000,513,752785
FMI,3000000,512,752785
FMI,3000000,517,752785
FMI,3000000,513,752785
FMI,3000000,522,752785
FMI,3000000,517,752785
FMI,3000000,514,752785
FMI,3000000,513,752785
FMI,3000000,510,752785
FMI,3000000,512,752785
FMI,3000000,511,752785
FMI,3000000,514,752785
FMI,3000000,516,752785
FMI,3000000,520,752785
FMI,3000000,520,752785
FMI,3000000,517,752785
FMI,3000000,519,752785
FMI,3000000,514,752785
FMI,3000000,515,752785
FMI,4000000,716,1018985
FMI,4000000,706,1018985
FMI,4000000,713,1018985
FMI,4000000,715,1018985
FMI,4000000,704,1018985
FMI,4000000,722,1018985
FMI,4000000,703,1018985
FMI,4000000,704,1018985
FMI,4000000,701,1018985
FMI,4000000,697,1018985
FMI,4000000,703,1018985
FMI,4000000,703,1018985
FMI,4000000,710,1018985
FMI,4000000,701,1018985
FMI,4000000,703,1018985
FMI,4000000,702,1018985
FMI,4000000,703,1018985
FMI,4000000,697,1018985
FMI,4000000,705,1018985
FMI,4000000,702,1018985
FMI,4000000,708,1018985
FMI,4000000,701,1018985
FMI,4000000,697,1018985
FMI,4000000,703,1018985
FMI,4000000,699,1018985
FMI,4000000,702,1018985
FMI,4000000,707,1018985
FMI,4000000,705,1018985
FMI,4000000,694,1018985
FMI,4000000,694,1018985
FMI,4000000,700,1018985
FMI,4000000,699,1018985
FMI,4000000,696,1018985
FMI,4000000,700,1018985
FMI,4000000,706,1018985
FMI,4000000,703,1018985
FMI,4000000,701,1018985
FMI,4000000,715,1018985
FMI,4000000,716,1018985
FMI,4000000,716,1018985
FMI,4000000,706,1018985
FMI,4000000,702,1018985
FMI,4000000,700,1018985
FMI,4000000,709,1018985
FMI,4000000,700,1018985
FMI,4000000,702,1018985
FMI,4000000,703,1018985
FMI,4000000,701,1018985
FMI,4000000,707,1018985
FMI,4000000,702,1018985
FMI,4000000,701,1018985
FMI,4000000,704,1018985
FMI,4000000,701,1018985
FMI,4000000,711,1018985
FMI,4000000,707,1018985
FMI,4000000,699,1018985
FMI,4000000,705,1018985
FMI,4000000,706,1018985
FMI,4000000,705,1018985
FMI,4000000,711,1018985
FMI,4000000,720,1018985
FMI,4000000,729,1018985
FMI,4000000,713,1018985
FMI,4000000,711,1018985
FMI,4000000,718,1018985
FMI,4000000,706,1018985
FMI,4000000,712,1018985
FMI,4000000,706,1018985
FMI,4000000,724,1018985
FMI,4000000,724,1018985
FMI,4000000,721,1018985
FMI,4000000,712,1018985
FMI,4000000,712,1018985
FMI,4000000,709,1018985
FMI,4000000,707,1018985
FMI,4000000,702,1018985
FMI,4000000,707,1018985
FMI,4000000,710,1018985
FMI,4000000,703,1018985
FMI,4000000,726,1018985
FMI,4000000,716,1018985
FMI,4000000,711,1018985
FMI,4000000,712,1018985
FMI,4000000,706,1018985
FMI,4000000,708,1018985
FMI,4000000,711,1018985
FMI,4000000,714,1018985
FMI,4000000,706,1018985
FMI,4000000,704,1018985
FMI,4000000,704,1018985
FMI,4000000,710,1018985
FMI,4000000,713,1018985
FMI,4000000,717,1018985
FMI,4000000,716,1018985
FMI,4000000,710,1018985
FMI,4000000,704,1018985
FMI,4000000,706,1018985
FMI,4000000,712,1018985
FMI,4000000,710,1018985
FMI,4000000,715,1018985
FMI,5000000,950,1295817
FMI,5000000,964,1295817
FMI,5000000,955,1295817
FMI,5000000,968,1295817
FMI,5000000,973,1295817
FMI,5000000,970,1295817
FMI,5000000,965,1295817
FMI,5000000,958,1295817
FMI,5000000,965,1295817
FMI,5000000,980,1295817
FMI,5000000,969,1295817
FMI,5000000,968,1295817
FMI,5000000,964,1295817
FMI,5000000,974,1295817
FMI,5000000,966,1295817
FMI,5000000,964,1295817
FMI,5000000,981,1295817
FMI,5000000,966,1295817
FMI,5000000,960,1295817
FMI,5000000,971,1295817
FMI,5000000,964,1295817
FMI,5000000,968,1295817
FMI,5000000,968,1295817
FMI,5000000,965,1295817
FMI,5000000,966,1295817
FMI,5000000,969,1295817
FMI,5000000,961,1295817
FMI,5000000,972,1295817
FMI,5000000,977,1295817
FMI,5000000,971,1295817
FMI,5000000,962,1295817
FMI,5000000,966,1295817
FMI,5000000,964,1295817
FMI,5000000,975,1295817
FMI,5000000,980,1295817
FMI,5000000,957,1295817
FMI,5000000,960,1295817
FMI,5000000,962,1295817
FMI,5000000,974,1295817
FMI,5000000,972,1295817
FMI,5000000,968,1295817
FMI,5000000,964,1295817
FMI,5000000,963,1295817
FMI,5000000,977,1295817
FMI,5000000,979,1295817
FMI,5000000,966,1295817
FMI,5000000,958,1295817
FMI,5000000,954,1295817
FMI,5000000,969,1295817
FMI,5000000,987,1295817
FMI,5000000,975,1295817
FMI,5000000,962,1295817
FMI,5000000,962,1295817
FMI,5000000,966,1295817
FMI,5000000,967,1295817
FMI,5000000,980,1295817
FMI,5000000,972,1295817
FMI,5000000,957,1295817
FMI,5000000,963,1295817
FMI,5000000,978,1295817
FMI,5000000,971,1295817
FMI,5000000,974,1295817
FMI,5000000,962,1295817
FMI,5000000,956,1295817
FMI,5000000,976,1295817
FMI,5000000,987,1295817
FMI,5000000,986,1295817
FMI,5000000,971,1295817
FMI,5000000,964,1295817
FMI,5000000,966,1295817
FMI,5000000,968,1295817
FMI,5000000,951,1295817
FMI,5000000,964,1295817
FMI,5000000,955,1295817
FMI,5000000,952,1295817
FMI,5000000,949,1295817
FMI,5000000,953,1295817
FMI,5000000,965,1295817
FMI,5000000,949,1295817
FMI,5000000,950,1295817
FMI,5000000,956,1295817
FMI,5000000,952,1295817
FMI,5000000,958,1295817
FMI,5000000,969,1295817
FMI,5000000,951,1295817
FMI,5000000,942,1295817
FMI,5000000,947,1295817
FMI,5000000,963,1295817
FMI,5000000,961,1295817
FMI,5000000,962,1295817
FMI,5000000,962,1295817
FMI,5000000,960,1295817
FMI,5000000,963,1295817
FMI,5000000,967,1295817
FMI,5000000,982,1295817
FMI,5000000,968,1295817
FMI,5000000,999,1295817
FMI,5000000,1000,1295817
FMI,5000000,968,1295817
FMI,5000000,977,1295817
FMI,6000000,1225,1569393
FMI,6000000,1208,1569393
FMI,6000000,1205,1569393
FMI,6000000,1236,1569393
FMI,6000000,1236,1569393
FMI,6000000,1188,1569393
FMI,6000000,1212,1569393
FMI,6000000,1197,1569393
FMI,6000000,1194,1569393
FMI,6000000,1195,1569393
FMI,6000000,1196,1569393
FMI,6000000,1187,1569393
FMI,6000000,1202,1569393
FMI,6000000,1197,1569393
FMI,6000000,1195,1569393
FMI,6000000,1193,1569393
FMI,6000000,1202,1569393
