Estructura,Tamaño,Milisegundos,Bytes
FMI,1000000,138,344397
FMI,1000000,138,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,138,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,138,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,1000000,138,344397
FMI,1000000,138,344397
FMI,1000000,137,344397
FMI,1000000,139,344397
FMI,1000000,137,344397
FMI,1000000,138,344397
FMI,2000000,282,666697
FMI,2000000,280,666697
FMI,2000000,279,666697
FMI,2000000,280,666697
FMI,2000000,281,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,279,666697
FMI,2000000,280,666697
FMI,2000000,279,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,282,666697
FMI,2000000,280,666697
FMI,2000000,281,666697
FMI,2000000,281,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,279,666697
FMI,2000000,280,666697
FMI,2000000,279,666697
FMI,2000000,280,666697
FMI,2000000,281,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,282,666697
FMI,2000000,281,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,281,666697
FMI,2000000,280,666697
FMI,2000000,281,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,279,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,281,666697
FMI,2000000,280,666697
FMI,2000000,279,666697
FMI,2000000,280,666697
FMI,2000000,279,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,279,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,281,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,281,666697
FMI,2000000,279,666697
FMI,2000000,279,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,281,666697
FMI,2000000,289,666697
FMI,2000000,281,666697
FMI,2000000,280,666697
FMI,2000000,281,666697
FMI,2000000,281,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,279,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,281,666697
FMI,2000000,280,666697
FMI,2000000,280,666697
FMI,2000000,281,666697
FMI,2000000,282,666697
FMI,3000000,420,946345
FMI,3000000,420,946345
FMI,3000000,420,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,416,946345
FMI,3000000,428,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,419,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,418,946345
FMI,3000000,417,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,418,946345
FMI,3000000,417,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,417,946345
FMI,3000000,421,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,416,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,419,946345
FMI,3000000,419,946345
FMI,3000000,418,946345
FMI,3000000,416,946345
FMI,3000000,417,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,417,946345
FMI,3000000,419,946345
FMI,3000000,419,946345
FMI,3000000,418,946345
FMI,3000000,419,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,418,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,419,946345
FMI,3000000,417,946345
FMI,3000000,419,946345
FMI,3000000,419,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,417,946345
FMI,3000000,418,946345
FMI,3000000,417,946345
FMI,3000000,419,946345
FMI,3000000,432,946345
FMI,3000000,417,946345
FMI,3000000,418,946345
FMI,3000000,420,946345
FMI,3000000,421,946345
FMI,3000000,419,946345
FMI,3000000,419,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,417,946345
FMI,3000000,418,946345
FMI,3000000,418,946345
FMI,3000000,421,946345
FMI,3000000,418,946345
FMI,3000000,419,946345
FMI,3000000,420,946345
FMI,3000000,418,946345
FMI,4000000,567,1264009
FMI,4000000,565,1264009
FMI,4000000,561,1264009
FMI,4000000,564,1264009
FMI,4000000,563,1264009
FMI,4000000,562,1264009
FMI,4000000,564,1264009
FMI,4000000,562,1264009
FMI,4000000,562,1264009
FMI,4000000,561,1264009
FMI,4000000,563,1264009
FMI,4000000,563,1264009
FMI,4000000,564,1264009
FMI,4000000,563,1264009
FMI,4000000,567,1264009
FMI,4000000,562,1264009
FMI,4000000,565,1264009
FMI,4000000,561,1264009
FMI,4000000,563,1264009
FMI,4000000,561,1264009
FMI,4000000,563,1264009
FMI,4000000,562,1264009
FMI,4000000,562,1264009
FMI,4000000,563,1264009
FMI,4000000,563,1264009
FMI,4000000,561,1264009
FMI,4000000,561,1264009
FMI,4000000,560,1264009
FMI,4000000,563,1264009
FMI,4000000,565,1264009
FMI,4000000,561,1264009
FMI,4000000,560,1264009
FMI,4000000,562,1264009
FMI,4000000,563,1264009
FMI,4000000,563,1264009
FMI,4000000,561,1264009
FMI,4000000,561,1264009
FMI,4000000,562,1264009
FMI,4000000,562,1264009
FMI,4000000,560,1264009
FMI,4000000,560,1264009
FMI,4000000,563,1264009
FMI,4000000,561,1264009
FMI,4000000,561,1264009
FMI,4000000,563,1264009
FMI,4000000,563,1264009
FMI,4000000,562,1264009
FMI,4000000,562,1264009
FMI,4000000,561,1264009
FMI,4000000,562,1264009
FMI,4000000,561,1264009
FMI,4000000,561,1264009
FMI,4000000,561,1264009
FMI,4000000,561,1264009
FMI,4000000,560,1264009
FMI,4000000,560,1264009
FMI,4000000,560,1264009
FMI,4000000,562,1264009
FMI,4000000,561,1264009
FMI,4000000,560,1264009
FMI,4000000,561,1264009
FMI,4000000,561,1264009
FMI,4000000,570,1264009
FMI,4000000,560,1264009
FMI,4000000,562,1264009
FMI,4000000,562,1264009
FMI,4000000,563,1264009
FMI,4000000,563,1264009
FMI,4000000,596,1264009
FMI,4000000,565,1264009
FMI,4000000,562,1264009
FMI,4000000,562,1264009
FMI,4000000,564,1264009
FMI,4000000,560,1264009
FMI,4000000,566,1264009
FMI,4000000,564,1264009
FMI,4000000,563,1264009
FMI,4000000,562,1264009
FMI,4000000,561,1264009
FMI,4000000,562,1264009
FMI,4000000,562,1264009
FMI,4000000,561,1264009
FMI,4000000,562,1264009
FMI,4000000,560,1264009
FMI,4000000,562,1264009
FMI,4000000,561,1264009
FMI,4000000,561,1264009
FMI,4000000,561,1264009
FMI,4000000,561,1264009
FMI,4000000,562,1264009
FMI,4000000,565,1264009
FMI,4000000,562,1264009
FMI,4000000,565,1264009
FMI,4000000,564,1264009
FMI,4000000,563,1264009
FMI,4000000,563,1264009
FMI,4000000,563,1264009
FMI,4000000,564,1264009
FMI,4000000,563,1264009
FMI,4000000,563,1264009
FMI,5000000,723,1559129
FMI,5000000,736,1559129
FMI,5000000,733,1559129
FMI,5000000,740,1559129
FMI,5000000,731,1559129
FMI,5000000,732,1559129
FMI,5000000,732,1559129
FMI,5000000,734,1559129
FMI,5000000,734,1559129
FMI,5000000,732,1559129
FMI,5000000,732,1559129
FMI,5000000,732,1559129
FMI,5000000,733,1559129
FMI,5000000,735,1559129
FMI,5000000,733,1559129
FMI,5000000,731,1559129
FMI,5000000,733,1559129
FMI,5000000,732,1559129
FMI,5000000,732,1559129
FMI,5000000,733,1559129
FMI,5000000,735,1559129
FMI,5000000,733,1559129
FMI,5000000,732,1559129
FMI,5000000,731,1559129
FMI,5000000,731,1559129
FMI,5000000,733,1559129
FMI,5000000,732,1559129
FMI,5000000,732,1559129
FMI,5000000,731,1559129
FMI,5000000,733,1559129
FMI,5000000,733,1559129
FMI,5000000,731,1559129
FMI,5000000,732,1559129
FMI,5000000,731,1559129
FMI,5000000,731,1559129
FMI,5000000,731,1559129
FMI,5000000,731,1559129
FMI,5000000,732,1559129
FMI,5000000,732,1559129
FMI,5000000,733,1559129
FMI,5000000,731,1559129
FMI,5000000,740,1559129
FMI,5000000,731,1559129
FMI,5000000,731,1559129
FMI,5000000,734,1559129
FMI,5000000,731,1559129
FMI,5000000,731,1559129
FMI,5000000,734,1559129
FMI,5000000,731,1559129
FMI,5000000,733,1559129
FMI,5000000,732,1559129
FMI,5000000,731,1559129
FMI,5000000,733,1559129
FMI,5000000,735,1559129
FMI,5000000,734,1559129
FMI,5000000,746,1559129
FMI,5000000,734,1559129
FMI,5000000,732,1559129
FMI,5000000,733,1559129
FMI,5000000,731,1559129
FMI,5000000,731,1559129
FMI,5000000,731,1559129
FMI,5000000,730,1559129
FMI,5000000,729,1559129
FMI,5000000,731,1559129
FMI,5000000,732,1559129
FMI,5000000,731,1559129
FMI,5000000,730,1559129
FMI,5000000,731,1559129
FMI,5000000,725,1559129
FMI,5000000,730,1559129
FMI,5000000,732,1559129
FMI,5000000,729,1559129
FMI,5000000,730,1559129
FMI,5000000,731,1559129
FMI,5000000,729,1559129
FMI,5000000,730,1559129
FMI,5000000,766,1559129
FMI,5000000,733,1559129
FMI,5000000,733,1559129
FMI,5000000,732,1559129
FMI,5000000,734,1559129
FMI,5000000,735,1559129
FMI,5000000,732,1559129
FMI,5000000,732,1559129
FMI,5000000,734,1559129
FMI,5000000,732,1559129
FMI,5000000,732,1559129
FMI,5000000,732,1559129
FMI,5000000,733,1559129
FMI,5000000,731,1559129
FMI,5000000,732,1559129
FMI,5000000,734,1559129
FMI,5000000,732,1559129
FMI,5000000,732,1559129
FMI,5000000,733,1559129
FMI,5000000,732,1559129
FMI,5000000,733,1559129
FMI,5000000,732,1559129
FMI,5000000,731,1559129
FMI,6000000,892,1843149
FMI,6000000,889,1843149
FMI,6000000,891,1843149
FMI,6000000,891,1843149
FMI,6000000,891,1843149
FMI,6000000,890,1843149
FMI,6000000,888,1843149
FMI,6000000,888,1843149
FMI,6000000,888,1843149
FMI,6000000,888,1843149
FMI,6000000,887,1843149
FMI,6000000,890,1843149
FMI,6000000,887,1843149
FMI,6000000,888,1843149
FMI,6000000,889,1843149
