Estructura,Largo Patron,Tiempo
Sufix Array,10,2487
Sufix Array,10,535
Sufix Array,10,477
Sufix Array,10,433
Sufix Array,10,445
Sufix Array,10,438
Sufix Array,10,446
Sufix Array,10,440
Sufix Array,10,450
Sufix Array,10,458
Sufix Array,10,426
Sufix Array,10,427
Sufix Array,10,426
Sufix Array,10,425
Sufix Array,10,425
Sufix Array,10,432
Sufix Array,10,444
Sufix Array,10,442
Sufix Array,10,444
Sufix Array,10,458
Sufix Array,10,451
Sufix Array,10,460
Sufix Array,10,436
Sufix Array,10,457
Sufix Array,10,445
Sufix Array,10,444
Sufix Array,10,427
Sufix Array,10,429
Sufix Array,10,436
Sufix Array,10,446
Sufix Array,10,433
Sufix Array,10,432
Sufix Array,10,425
Sufix Array,10,458
Sufix Array,10,450
Sufix Array,10,431
Sufix Array,10,429
Sufix Array,10,433
Sufix Array,10,427
Sufix Array,10,478
Sufix Array,10,431
Sufix Array,10,426
Sufix Array,10,426
Sufix Array,10,432
Sufix Array,10,446
Sufix Array,10,468
Sufix Array,10,427
Sufix Array,10,443
Sufix Array,10,445
Sufix Array,10,423
Sufix Array,10,425
Sufix Array,10,433
Sufix Array,10,434
Sufix Array,10,430
Sufix Array,10,432
Sufix Array,10,436
Sufix Array,10,424
Sufix Array,10,426
Sufix Array,10,424
Sufix Array,10,423
Sufix Array,10,421
Sufix Array,10,485
Sufix Array,10,450
Sufix Array,10,427
Sufix Array,10,415
Sufix Array,10,477
Sufix Array,10,453
Sufix Array,10,436
Sufix Array,10,446
Sufix Array,10,427
Sufix Array,10,429
Sufix Array,10,450
Sufix Array,10,442
Sufix Array,10,431
Sufix Array,10,453
Sufix Array,10,432
Sufix Array,10,423
Sufix Array,10,436
Sufix Array,10,448
Sufix Array,10,439
Sufix Array,10,452
Sufix Array,10,436
Sufix Array,10,434
Sufix Array,10,455
Sufix Array,10,430
Sufix Array,10,427
Sufix Array,10,467
Sufix Array,10,430
Sufix Array,10,490
Sufix Array,10,439
Sufix Array,10,428
Sufix Array,10,429
Sufix Array,10,431
Sufix Array,10,435
Sufix Array,10,433
Sufix Array,10,471
Sufix Array,10,472
Sufix Array,10,469
Sufix Array,10,473
Sufix Array,10,472
Sufix Array,20,645
Sufix Array,20,463
Sufix Array,20,439
Sufix Array,20,448
Sufix Array,20,422
Sufix Array,20,423
Sufix Array,20,434
Sufix Array,20,452
Sufix Array,20,456
Sufix Array,20,440
Sufix Array,20,464
Sufix Array,20,450
Sufix Array,20,460
Sufix Array,20,453
Sufix Array,20,461
Sufix Array,20,440
Sufix Array,20,444
Sufix Array,20,434
Sufix Array,20,453
Sufix Array,20,462
Sufix Array,20,449
Sufix Array,20,456
Sufix Array,20,427
Sufix Array,20,441
Sufix Array,20,440
Sufix Array,20,427
Sufix Array,20,434
Sufix Array,20,443
Sufix Array,20,439
Sufix Array,20,429
Sufix Array,20,447
Sufix Array,20,447
Sufix Array,20,441
Sufix Array,20,449
Sufix Array,20,429
Sufix Array,20,438
Sufix Array,20,429
Sufix Array,20,444
Sufix Array,20,441
Sufix Array,20,438
Sufix Array,20,426
Sufix Array,20,433
Sufix Array,20,438
Sufix Array,20,457
Sufix Array,20,429
Sufix Array,20,442
Sufix Array,20,440
Sufix Array,20,442
Sufix Array,20,448
Sufix Array,20,433
Sufix Array,20,422
Sufix Array,20,420
Sufix Array,20,470
Sufix Array,20,425
Sufix Array,20,434
Sufix Array,20,422
Sufix Array,20,423
Sufix Array,20,424
Sufix Array,20,428
Sufix Array,20,447
Sufix Array,20,455
Sufix Array,20,464
Sufix Array,20,426
Sufix Array,20,461
Sufix Array,20,442
Sufix Array,20,467
Sufix Array,20,444
Sufix Array,20,463
Sufix Array,20,436
Sufix Array,20,454
Sufix Array,20,430
Sufix Array,20,460
Sufix Array,20,430
Sufix Array,20,472
Sufix Array,20,427
Sufix Array,20,446
Sufix Array,20,471
Sufix Array,20,497
Sufix Array,20,426
Sufix Array,20,433
Sufix Array,20,437
Sufix Array,20,428
Sufix Array,20,437
Sufix Array,20,433
Sufix Array,20,431
Sufix Array,20,437
Sufix Array,20,445
Sufix Array,20,472
Sufix Array,20,426
Sufix Array,20,448
Sufix Array,20,461
Sufix Array,20,444
Sufix Array,20,463
Sufix Array,20,441
Sufix Array,20,434
Sufix Array,20,432
Sufix Array,20,447
Sufix Array,20,474
Sufix Array,20,449
Sufix Array,20,433
Sufix Array,30,467
Sufix Array,30,437
Sufix Array,30,420
Sufix Array,30,444
Sufix Array,30,453
Sufix Array,30,436
Sufix Array,30,460
Sufix Array,30,418
Sufix Array,30,421
Sufix Array,30,420
Sufix Array,30,471
Sufix Array,30,475
Sufix Array,30,420
Sufix Array,30,427
Sufix Array,30,474
Sufix Array,30,445
Sufix Array,30,445
Sufix Array,30,449
Sufix Array,30,433
Sufix Array,30,429
Sufix Array,30,466
Sufix Array,30,449
Sufix Array,30,434
Sufix Array,30,483
Sufix Array,30,423
Sufix Array,30,427
Sufix Array,30,431
Sufix Array,30,422
Sufix Array,30,424
Sufix Array,30,448
Sufix Array,30,443
Sufix Array,30,427
Sufix Array,30,428
Sufix Array,30,432
Sufix Array,30,453
Sufix Array,30,451
Sufix Array,30,452
Sufix Array,30,430
Sufix Array,30,448
Sufix Array,30,443
Sufix Array,30,433
Sufix Array,30,434
Sufix Array,30,429
Sufix Array,30,437
Sufix Array,30,428
Sufix Array,30,431
Sufix Array,30,444
Sufix Array,30,438
Sufix Array,30,463
Sufix Array,30,463
Sufix Array,30,434
Sufix Array,30,424
Sufix Array,30,429
Sufix Array,30,446
Sufix Array,30,437
Sufix Array,30,434
Sufix Array,30,420
Sufix Array,30,436
Sufix Array,30,440
Sufix Array,30,450
Sufix Array,30,468
Sufix Array,30,439
Sufix Array,30,445
Sufix Array,30,457
Sufix Array,30,447
Sufix Array,30,454
Sufix Array,30,452
Sufix Array,30,453
Sufix Array,30,427
Sufix Array,30,440
Sufix Array,30,440
Sufix Array,30,427
Sufix Array,30,438
Sufix Array,30,445
Sufix Array,30,458
Sufix Array,30,449
Sufix Array,30,432
Sufix Array,30,433
Sufix Array,30,429
Sufix Array,30,444
Sufix Array,30,441
Sufix Array,30,439
Sufix Array,30,432
Sufix Array,30,458
Sufix Array,30,428
Sufix Array,30,422
Sufix Array,30,431
Sufix Array,30,431
Sufix Array,30,499
Sufix Array,30,458
Sufix Array,30,470
Sufix Array,30,443
Sufix Array,30,431
Sufix Array,30,433
Sufix Array,30,427
Sufix Array,30,470
Sufix Array,30,466
Sufix Array,30,460
Sufix Array,30,477
Sufix Array,30,459
Sufix Array,40,496
Sufix Array,40,425
Sufix Array,40,413
Sufix Array,40,411
Sufix Array,40,411
Sufix Array,40,404
Sufix Array,40,427
Sufix Array,40,424
Sufix Array,40,432
Sufix Array,40,394
Sufix Array,40,406
Sufix Array,40,406
Sufix Array,40,440
Sufix Array,40,401
Sufix Array,40,407
Sufix Array,40,406
Sufix Array,40,393
Sufix Array,40,412
Sufix Array,40,435
Sufix Array,40,399
Sufix Array,40,425
Sufix Array,40,394
Sufix Array,40,421
Sufix Array,40,396
Sufix Array,40,445
Sufix Array,40,407
Sufix Array,40,428
Sufix Array,40,412
Sufix Array,40,430
Sufix Array,40,400
Sufix Array,40,429
Sufix Array,40,418
Sufix Array,40,435
Sufix Array,40,397
Sufix Array,40,395
Sufix Array,40,404
Sufix Array,40,427
Sufix Array,40,398
Sufix Array,40,427
Sufix Array,40,396
Sufix Array,40,411
Sufix Array,40,399
Sufix Array,40,424
Sufix Array,40,419
Sufix Array,40,395
Sufix Array,40,426
Sufix Array,40,414
Sufix Array,40,421
Sufix Array,40,400
Sufix Array,40,403
Sufix Array,40,392
Sufix Array,40,400
Sufix Array,40,414
Sufix Array,40,399
Sufix Array,40,396
Sufix Array,40,397
Sufix Array,40,404
Sufix Array,40,418
Sufix Array,40,415
Sufix Array,40,410
Sufix Array,40,410
Sufix Array,40,420
Sufix Array,40,419
Sufix Array,40,406
Sufix Array,40,411
Sufix Array,40,404
Sufix Array,40,404
Sufix Array,40,411
Sufix Array,40,420
Sufix Array,40,411
Sufix Array,40,403
Sufix Array,40,425
Sufix Array,40,432
Sufix Array,40,399
Sufix Array,40,412
Sufix Array,40,426
Sufix Array,40,437
Sufix Array,40,409
Sufix Array,40,397
Sufix Array,40,398
Sufix Array,40,409
Sufix Array,40,400
Sufix Array,40,428
Sufix Array,40,437
Sufix Array,40,410
Sufix Array,40,407
Sufix Array,40,421
Sufix Array,40,405
Sufix Array,40,413
Sufix Array,40,415
Sufix Array,40,406
Sufix Array,40,409
Sufix Array,40,397
Sufix Array,40,409
Sufix Array,40,406
Sufix Array,40,403
Sufix Array,40,396
Sufix Array,40,400
Sufix Array,40,399
Sufix Array,40,411
Sufix Array,50,432
Sufix Array,50,422
Sufix Array,50,408
Sufix Array,50,391
Sufix Array,50,401
Sufix Array,50,401
Sufix Array,50,435
Sufix Array,50,403
Sufix Array,50,420
Sufix Array,50,425
Sufix Array,50,396
Sufix Array,50,452
Sufix Array,50,399
Sufix Array,50,409
Sufix Array,50,414
Sufix Array,50,408
Sufix Array,50,411
Sufix Array,50,420
Sufix Array,50,395
Sufix Array,50,394
Sufix Array,50,411
Sufix Array,50,433
Sufix Array,50,464
Sufix Array,50,396
Sufix Array,50,417
Sufix Array,50,432
Sufix Array,50,397
Sufix Array,50,403
Sufix Array,50,414
Sufix Array,50,428
Sufix Array,50,426
Sufix Array,50,416
Sufix Array,50,390
Sufix Array,50,408
Sufix Array,50,408
Sufix Array,50,397
Sufix Array,50,422
Sufix Array,50,414
Sufix Array,50,407
Sufix Array,50,397
Sufix Array,50,395
Sufix Array,50,403
Sufix Array,50,410
Sufix Array,50,396
Sufix Array,50,404
Sufix Array,50,393
Sufix Array,50,400
Sufix Array,50,397
Sufix Array,50,391
Sufix Array,50,403
Sufix Array,50,398
Sufix Array,50,409
Sufix Array,50,413
Sufix Array,50,409
Sufix Array,50,416
Sufix Array,50,397
Sufix Array,50,399
Sufix Array,50,408
Sufix Array,50,404
Sufix Array,50,395
Sufix Array,50,402
Sufix Array,50,398
Sufix Array,50,431
Sufix Array,50,389
Sufix Array,50,392
Sufix Array,50,447
Sufix Array,50,399
Sufix Array,50,400
Sufix Array,50,394
Sufix Array,50,393
Sufix Array,50,404
Sufix Array,50,414
Sufix Array,50,409
Sufix Array,50,435
Sufix Array,50,416
Sufix Array,50,402
Sufix Array,50,412
Sufix Array,50,402
Sufix Array,50,415
Sufix Array,50,430
Sufix Array,50,399
Sufix Array,50,407
Sufix Array,50,442
Sufix Array,50,402
Sufix Array,50,402
Sufix Array,50,418
Sufix Array,50,414
Sufix Array,50,411
Sufix Array,50,415
Sufix Array,50,411
Sufix Array,50,423
Sufix Array,50,414
Sufix Array,50,413
Sufix Array,50,402
Sufix Array,50,452
Sufix Array,50,401
Sufix Array,50,414
Sufix Array,50,409
Sufix Array,50,408
Sufix Array,50,401
Sufix Array,60,575
Sufix Array,60,413
Sufix Array,60,398
Sufix Array,60,406
Sufix Array,60,416
Sufix Array,60,410
Sufix Array,60,396
Sufix Array,60,409
Sufix Array,60,405
Sufix Array,60,420
Sufix Array,60,404
Sufix Array,60,413
Sufix Array,60,405
Sufix Array,60,402
Sufix Array,60,457
Sufix Array,60,409
Sufix Array,60,422
Sufix Array,60,412
Sufix Array,60,398
Sufix Array,60,415
Sufix Array,60,423
Sufix Array,60,412
Sufix Array,60,415
Sufix Array,60,396
Sufix Array,60,394
Sufix Array,60,429
Sufix Array,60,427
Sufix Array,60,404
Sufix Array,60,419
Sufix Array,60,407
Sufix Array,60,453
Sufix Array,60,414
Sufix Array,60,425
Sufix Array,60,417
Sufix Array,60,420
Sufix Array,60,448
Sufix Array,60,427
Sufix Array,60,389
Sufix Array,60,415
Sufix Array,60,399
Sufix Array,60,431
Sufix Array,60,411
Sufix Array,60,407
Sufix Array,60,391
Sufix Array,60,415
Sufix Array,60,416
Sufix Array,60,413
Sufix Array,60,407
Sufix Array,60,420
Sufix Array,60,394
Sufix Array,60,401
Sufix Array,60,411
Sufix Array,60,415
Sufix Array,60,402
Sufix Array,60,412
Sufix Array,60,420
Sufix Array,60,427
Sufix Array,60,391
Sufix Array,60,395
Sufix Array,60,410
Sufix Array,60,405
Sufix Array,60,395
Sufix Array,60,416
Sufix Array,60,456
Sufix Array,60,399
Sufix Array,60,414
Sufix Array,60,411
Sufix Array,60,406
Sufix Array,60,416
Sufix Array,60,411
Sufix Array,60,418
Sufix Array,60,405
Sufix Array,60,397
Sufix Array,60,406
Sufix Array,60,414
Sufix Array,60,411
Sufix Array,60,411
Sufix Array,60,395
Sufix Array,60,408
Sufix Array,60,422
Sufix Array,60,443
Sufix Array,60,435
Sufix Array,60,400
Sufix Array,60,407
Sufix Array,60,396
Sufix Array,60,397
Sufix Array,60,389
Sufix Array,60,393
Sufix Array,60,454
Sufix Array,60,395
Sufix Array,60,407
Sufix Array,60,411
Sufix Array,60,405
Sufix Array,60,411
Sufix Array,60,427
Sufix Array,60,423
Sufix Array,60,415
Sufix Array,60,391
Sufix Array,60,406
Sufix Array,60,407
Sufix Array,70,414
Sufix Array,70,409
Sufix Array,70,415
Sufix Array,70,406
Sufix Array,70,406
Sufix Array,70,407
Sufix Array,70,423
Sufix Array,70,406
Sufix Array,70,400
Sufix Array,70,414
Sufix Array,70,402
Sufix Array,70,399
Sufix Array,70,412
Sufix Array,70,412
Sufix Array,70,423
Sufix Array,70,410
Sufix Array,70,396
Sufix Array,70,402
Sufix Array,70,405
Sufix Array,70,412
Sufix Array,70,429
Sufix Array,70,397
Sufix Array,70,435
Sufix Array,70,406
Sufix Array,70,433
Sufix Array,70,399
Sufix Array,70,417
Sufix Array,70,406
Sufix Array,70,435
Sufix Array,70,397
Sufix Array,70,403
Sufix Array,70,412
Sufix Array,70,423
Sufix Array,70,428
Sufix Array,70,414
Sufix Array,70,414
Sufix Array,70,408
Sufix Array,70,414
Sufix Array,70,401
Sufix Array,70,417
Sufix Array,70,426
Sufix Array,70,403
Sufix Array,70,411
Sufix Array,70,428
Sufix Array,70,429
Sufix Array,70,409
Sufix Array,70,410
Sufix Array,70,412
Sufix Array,70,410
Sufix Array,70,412
Sufix Array,70,418
Sufix Array,70,395
Sufix Array,70,406
Sufix Array,70,408
Sufix Array,70,423
Sufix Array,70,402
Sufix Array,70,432
Sufix Array,70,399
Sufix Array,70,433
Sufix Array,70,398
Sufix Array,70,426
Sufix Array,70,411
Sufix Array,70,438
Sufix Array,70,412
Sufix Array,70,419
Sufix Array,70,395
Sufix Array,70,422
Sufix Array,70,395
Sufix Array,70,397
Sufix Array,70,396
Sufix Array,70,412
Sufix Array,70,415
Sufix Array,70,398
Sufix Array,70,404
Sufix Array,70,404
Sufix Array,70,402
Sufix Array,70,399
Sufix Array,70,457
Sufix Array,70,393
Sufix Array,70,416
Sufix Array,70,413
Sufix Array,70,418
Sufix Array,70,425
Sufix Array,70,398
Sufix Array,70,425
Sufix Array,70,397
Sufix Array,70,424
Sufix Array,70,417
Sufix Array,70,423
Sufix Array,70,396
Sufix Array,70,400
Sufix Array,70,414
Sufix Array,70,416
Sufix Array,70,409
Sufix Array,70,428
Sufix Array,70,417
Sufix Array,70,407
Sufix Array,70,421
Sufix Array,70,412
Sufix Array,70,410
Sufix Array,80,586
Sufix Array,80,396
Sufix Array,80,415
Sufix Array,80,397
Sufix Array,80,424
Sufix Array,80,413
Sufix Array,80,399
Sufix Array,80,407
Sufix Array,80,425
Sufix Array,80,400
Sufix Array,80,425
Sufix Array,80,410
Sufix Array,80,394
Sufix Array,80,397
Sufix Array,80,391
Sufix Array,80,403
Sufix Array,80,400
Sufix Array,80,391
Sufix Array,80,407
Sufix Array,80,395
Sufix Array,80,464
Sufix Array,80,398
Sufix Array,80,407
Sufix Array,80,389
Sufix Array,80,420
Sufix Array,80,414
Sufix Array,80,411
Sufix Array,80,406
Sufix Array,80,401
Sufix Array,80,405
Sufix Array,80,428
Sufix Array,80,404
Sufix Array,80,426
Sufix Array,80,403
Sufix Array,80,438
Sufix Array,80,406
Sufix Array,80,420
Sufix Array,80,415
Sufix Array,80,400
Sufix Array,80,396
Sufix Array,80,409
Sufix Array,80,428
Sufix Array,80,420
Sufix Array,80,438
Sufix Array,80,459
Sufix Array,80,407
Sufix Array,80,403
Sufix Array,80,410
Sufix Array,80,416
Sufix Array,80,432
Sufix Array,80,431
Sufix Array,80,430
Sufix Array,80,431
Sufix Array,80,426
Sufix Array,80,403
Sufix Array,80,423
Sufix Array,80,403
Sufix Array,80,393
Sufix Array,80,399
Sufix Array,80,408
Sufix Array,80,422
Sufix Array,80,449
Sufix Array,80,398
Sufix Array,80,417
Sufix Array,80,468
Sufix Array,80,403
Sufix Array,80,400
Sufix Array,80,398
Sufix Array,80,401
Sufix Array,80,393
Sufix Array,80,395
Sufix Array,80,408
Sufix Array,80,406
Sufix Array,80,419
Sufix Array,80,404
Sufix Array,80,425
Sufix Array,80,400
Sufix Array,80,400
Sufix Array,80,417
Sufix Array,80,425
Sufix Array,80,421
Sufix Array,80,398
Sufix Array,80,415
Sufix Array,80,399
Sufix Array,80,405
Sufix Array,80,396
Sufix Array,80,389
Sufix Array,80,391
Sufix Array,80,397
Sufix Array,80,405
Sufix Array,80,415
Sufix Array,80,414
Sufix Array,80,411
Sufix Array,80,425
Sufix Array,80,412
Sufix Array,80,418
Sufix Array,80,391
Sufix Array,80,405
Sufix Array,80,402
Sufix Array,80,411
Sufix Array,90,474
Sufix Array,90,397
Sufix Array,90,406
Sufix Array,90,412
Sufix Array,90,432
Sufix Array,90,402
Sufix Array,90,424
Sufix Array,90,400
Sufix Array,90,425
Sufix Array,90,398
Sufix Array,90,435
Sufix Array,90,400
Sufix Array,90,428
Sufix Array,90,404
Sufix Array,90,431
Sufix Array,90,411
Sufix Array,90,413
Sufix Array,90,396
Sufix Array,90,401
Sufix Array,90,418
Sufix Array,90,399
Sufix Array,90,408
Sufix Array,90,421
Sufix Array,90,405
Sufix Array,90,393
Sufix Array,90,405
Sufix Array,90,406
Sufix Array,90,409
Sufix Array,90,401
Sufix Array,90,420
Sufix Array,90,388
Sufix Array,90,419
Sufix Array,90,403
Sufix Array,90,420
Sufix Array,90,396
Sufix Array,90,422
Sufix Array,90,400
Sufix Array,90,414
Sufix Array,90,412
Sufix Array,90,430
Sufix Array,90,404
Sufix Array,90,430
Sufix Array,90,425
Sufix Array,90,402
Sufix Array,90,421
Sufix Array,90,426
Sufix Array,90,412
Sufix Array,90,453
Sufix Array,90,402
Sufix Array,90,426
Sufix Array,90,421
Sufix Array,90,447
Sufix Array,90,397
Sufix Array,90,407
Sufix Array,90,413
Sufix Array,90,434
Sufix Array,90,418
Sufix Array,90,400
Sufix Array,90,420
Sufix Array,90,437
Sufix Array,90,406
Sufix Array,90,414
Sufix Array,90,417
Sufix Array,90,391
Sufix Array,90,406
Sufix Array,90,394
Sufix Array,90,413
Sufix Array,90,409
Sufix Array,90,421
Sufix Array,90,418
Sufix Array,90,403
Sufix Array,90,402
Sufix Array,90,408
Sufix Array,90,437
Sufix Array,90,403
Sufix Array,90,454
Sufix Array,90,405
Sufix Array,90,410
Sufix Array,90,412
Sufix Array,90,400
Sufix Array,90,402
Sufix Array,90,400
Sufix Array,90,396
Sufix Array,90,409
Sufix Array,90,429
Sufix Array,90,425
Sufix Array,90,433
Sufix Array,90,396
Sufix Array,90,422
Sufix Array,90,414
Sufix Array,90,425
Sufix Array,90,391
Sufix Array,90,399
Sufix Array,90,427
Sufix Array,90,399
Sufix Array,90,398
Sufix Array,90,406
Sufix Array,90,395
Sufix Array,90,392
Sufix Array,90,421
Sufix Array,100,405
Sufix Array,100,411
Sufix Array,100,410
Sufix Array,100,414
Sufix Array,100,415
Sufix Array,100,431
Sufix Array,100,406
Sufix Array,100,419
Sufix Array,100,434
Sufix Array,100,400
Sufix Array,100,402
Sufix Array,100,430
Sufix Array,100,415
Sufix Array,100,421
Sufix Array,100,448
Sufix Array,100,416
Sufix Array,100,395
Sufix Array,100,425
Sufix Array,100,420
Sufix Array,100,397
Sufix Array,100,416
Sufix Array,100,417
Sufix Array,100,397
Sufix Array,100,430
Sufix Array,100,410
Sufix Array,100,413
Sufix Array,100,431
Sufix Array,100,402
Sufix Array,100,411
Sufix Array,100,413
Sufix Array,100,415
Sufix Array,100,423
Sufix Array,100,432
Sufix Array,100,398
Sufix Array,100,411
Sufix Array,100,461
Sufix Array,100,389
Sufix Array,100,426
Sufix Array,100,429
Sufix Array,100,420
Sufix Array,100,432
Sufix Array,100,415
Sufix Array,100,414
Sufix Array,100,405
Sufix Array,100,416
Sufix Array,100,402
Sufix Array,100,413
Sufix Array,100,417
Sufix Array,100,430
Sufix Array,100,414
Sufix Array,100,396
Sufix Array,100,411
Sufix Array,100,451
Sufix Array,100,406
Sufix Array,100,421
Sufix Array,100,423
Sufix Array,100,405
Sufix Array,100,414
Sufix Array,100,395
Sufix Array,100,418
Sufix Array,100,423
Sufix Array,100,414
Sufix Array,100,435
Sufix Array,100,407
Sufix Array,100,419
Sufix Array,100,395
Sufix Array,100,400
Sufix Array,100,416
Sufix Array,100,424
Sufix Array,100,401
Sufix Array,100,403
Sufix Array,100,418
Sufix Array,100,432
Sufix Array,100,416
Sufix Array,100,402
Sufix Array,100,416
Sufix Array,100,408
Sufix Array,100,422
Sufix Array,100,417
Sufix Array,100,422
Sufix Array,100,419
Sufix Array,100,414
Sufix Array,100,407
Sufix Array,100,445
Sufix Array,100,399
Sufix Array,100,408
Sufix Array,100,425
Sufix Array,100,433
Sufix Array,100,421
Sufix Array,100,400
Sufix Array,100,418
Sufix Array,100,406
Sufix Array,100,446
Sufix Array,100,418
Sufix Array,100,429
Sufix Array,100,420
Sufix Array,100,414
Sufix Array,100,428
Sufix Array,100,409
Sufix Array,100,427
